,Country Name,Total Cases,Total Deaths,Total Recoveries
203,Macau,46,0,46
204,Northern Mariana Islands,38,2,19
205,MS Roald Amundsen,36,0,0
206,Curaçao,31,1,28
207,Fiji,27,1,19
208,East Timor,25,0,24
209,Saint Lucia,25,0,22
210,Grenada,24,0,23
211,New Caledonia,22,0,22
212,Laos,20,0,19
213,Dominica,18,0,18
214,Saint Kitts and Nevis,17,0,16
215,Greenland,14,0,13
216,Falkland Islands,13,0,13
217,MS Zaandam,13,4,0
218,Coral Princess,12,3,0
219,Montserrat,12,1,10
220,Vatican City,12,0,12
221,British Virgin Islands,9,1,7
222,HNLMS Dolfijn,8,0,8
223,Bonaire,5,0,2
224,Saba,5,0,3
225,Saint Pierre and Miquelon,4,0,1
226,Anguilla,3,0,3
227,Sint Eustatius,2,0,2
228,Tanzania,0,0,0
